"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Charles Clay",3500,"Buf@KC 01:00PM ET",9.820,"Buf"
"RB","Andre Ellington",3500,"Ari@SF 04:05PM ET",8.671,"Ari"
"RB","Charles Sims",3500,"TB@Ind 01:00PM ET",10.320,"TB"
"RB","Terron Ward",3500,"Min@Atl 01:00PM ET",2.790,"Atl"
"RB","C.J. Anderson",3500,"NE@Den 08:30PM ET",7.650,"Den"
"WR","Roddy White",3400,"Min@Atl 01:00PM ET",5.240,"Atl"
"WR","Andre Johnson",3400,"TB@Ind 01:00PM ET",7.310,"Ind"
"TE","Kyle Rudolph",3400,"Min@Atl 01:00PM ET",8.480,"Min"
"TE","Julius Thomas",3400,"SD@Jax 01:00PM ET",8.117,"Jax"
"RB","David Cobb",3400,"Oak@Ten 01:00PM ET",-0.300,"Ten"
"DST","Rams ",3300,"StL@Cin 01:00PM ET",9.600,"StL"
"WR","Marques Colston",3300,"NO@Hou 01:00PM ET",9.033,"NO"
"TE","Jacob Tamme",3300,"Min@Atl 01:00PM ET",10.289,"Atl"
"RB","Marcel Reece",3300,"Oak@Ten 01:00PM ET",6.230,"Oak"
"WR","Mike Wallace",3300,"Min@Atl 01:00PM ET",6.640,"Min"
"RB","Bilal Powell",3300,"Mia@NYJ 01:00PM ET",8.450,"NYJ"
"WR","Jermaine Kearse",3300,"Pit@Sea 04:25PM ET",6.920,"Sea"
"WR","Kenny Stills",3300,"Mia@NYJ 01:00PM ET",6.310,"Mia"
"RB","David Johnson",3300,"Ari@SF 04:05PM ET",9.310,"Ari"
"WR","Robert Woods",3300,"Buf@KC 01:00PM ET",7.980,"Buf"
"RB","Jay Ajayi",3300,"Mia@NYJ 01:00PM ET",4.833,"Mia"
"WR","Dorial Green-Beckham",3300,"Oak@Ten 01:00PM ET",4.910,"Ten"
"DST","Jets ",3200,"Mia@NYJ 01:00PM ET",7.100,"NYJ"
"RB","Dexter McCluster",3200,"Oak@Ten 01:00PM ET",8.270,"Ten"
"WR","Kenny Britt",3200,"StL@Cin 01:00PM ET",6.110,"StL"
"WR","Torrey Smith",3200,"Ari@SF 04:05PM ET",7.620,"SF"
"RB","Chris Polk",3200,"NO@Hou 01:00PM ET",4.756,"Hou"
"RB","Chris Thompson",3200,"NYG@Was 01:00PM ET",8.167,"Was"
"WR","Chris Hogan",3200,"Buf@KC 01:00PM ET",7.116,"Buf"
"WR","Adam Humphries",3200,"TB@Ind 01:00PM ET",4.543,"TB"
"DST","Falcons ",3100,"Min@Atl 01:00PM ET",7.000,"Atl"
"TE","Heath Miller",3100,"Pit@Sea 04:25PM ET",7.950,"Pit"
"WR","Harry Douglas",3100,"Oak@Ten 01:00PM ET",5.500,"Ten"
"WR","Albert Wilson",3100,"Buf@KC 01:00PM ET",5.838,"KC"
"WR","Seth Roberts",3100,"Oak@Ten 01:00PM ET",5.090,"Oak"
"DST","Bengals ",3000,"StL@Cin 01:00PM ET",7.600,"Cin"
"DST","Steelers ",3000,"Pit@Sea 04:25PM ET",8.500,"Pit"
"WR","Greg Jennings",3000,"Mia@NYJ 01:00PM ET",2.230,"Mia"
"WR","Jason Avant",3000,"Buf@KC 01:00PM ET",2.020,"KC"
"TE","Vernon Davis",3000,"NE@Den 08:30PM ET",6.011,"Den"
"WR","Andre Caldwell",3000,"NE@Den 08:30PM ET",2.040,"Den"
"WR","Eric Weems",3000,"Min@Atl 01:00PM ET",0.210,"Atl"
"WR","Matthew Slater",3000,"NE@Den 08:30PM ET",0.000,"NE"
"WR","Wes Welker",3000,"StL@Cin 01:00PM ET",4.750,"StL"
"RB","Jerome Felton",3000,"Buf@KC 01:00PM ET",0.020,"Buf"
"RB","Tim Hightower",3000,"NO@Hou 01:00PM ET",2.300,"NO"
"RB","Cedric Peerman",3000,"StL@Cin 01:00PM ET",0.000,"Cin"
"WR","Jerome Simpson",3000,"Ari@SF 04:05PM ET",3.200,"SF"
"WR","Darrius Heyward-Bey",3000,"Pit@Sea 04:25PM ET",4.990,"Pit"
"WR","Brandon Tate",3000,"StL@Cin 01:00PM ET",1.390,"Cin"
"RB","Darrel Young",3000,"NYG@Was 01:00PM ET",0.470,"Was"
"RB","Donald Brown",3000,"SD@Jax 01:00PM ET",0.325,"SD"
"RB","Jorvorskie Lane",3000,"TB@Ind 01:00PM ET",0.330,"TB"
"WR","Jordan Norwood",3000,"NE@Den 08:30PM ET",2.971,"Den"
"WR","Hakeem Nicks",3000,"NYG@Was 01:00PM ET",0,"NYG"
"RB","Bruce Miller",3000,"Ari@SF 04:05PM ET",1.830,"SF"
"WR","Bryan Walters",3000,"SD@Jax 01:00PM ET",7.733,"Jax"
"WR","Andre Roberts",3000,"NYG@Was 01:00PM ET",3.813,"Was"
"WR","Jacoby Jones",3000,"Pit@Sea 04:25PM ET",0.000,"Pit"
"RB","Fred Jackson",3000,"Pit@Sea 04:25PM ET",4.680,"Sea"
"RB","Boobie Dixon",3000,"Buf@KC 01:00PM ET",1.690,"Buf"
"RB","Toby Gerhart",3000,"SD@Jax 01:00PM ET",1.617,"Jax"
"RB","Chase Reynolds",3000,"StL@Cin 01:00PM ET",0.000,"StL"
"RB","C.J. Spiller",3000,"NO@Hou 01:00PM ET",7.756,"NO"
"WR","Marcus Easley",3000,"Buf@KC 01:00PM ET",1.422,"Buf"
"RB","Stevan Ridley",3000,"Mia@NYJ 01:00PM ET",0.133,"NYJ"
"RB","Matt Asiata",3000,"Min@Atl 01:00PM ET",2.770,"Min"
"RB","Taiwan Jones",3000,"Oak@Ten 01:00PM ET",3.538,"Oak"
"WR","Charles Johnson",3000,"Min@Atl 01:00PM ET",2.713,"Min"
"WR","Brian Quick",3000,"StL@Cin 01:00PM ET",1.300,"StL"
